CASEID;TM_START;TM_FINIS;DURATION;WEIGHT;RELPREF;DENOM;ID_MAINL;ID_RELRI;ID_THEOL;ID_EVANG;ID_THEOC;ID_CHARI;ID_BIBLE;ID_BORNA;ID_PENTE;ID_SEEKE;ID_FUNDA;ID_SPIRI;ID_SECUL;ID_IRREL;ID_RELIG;ID_ATHEI;ID_REFUS;HOWRELIG;ATTENDAN;PASTATTE;BIBLE;HUMANORI;ATLANTIS;POSTHINK;FORTUNET;ASTROLOG;HAUNTING;DREAMS;UFOS;BIGFOOT;SATAN_EV;HOROSCOP;PSYCHIC;HAUNTED;OUIJA;HAD_DREA;SAW_UFO;POLPREF;POLAFFIL;CANTRUST;SATIS_LI;SATIS_FI;SATIS_HE;DECISION;GAS_STRA;GAS_HELP;TRUST_PO;SAFE_HOU;SAFE_NET;SAFE_WAL;SAFE_NGB;SAFE_CIT;SAFE_WOR;WATCH_TA;WATCH_CO;WATCH_TR;WATCH_CR;WAVE_TV;WORRY_OL;WORRY_MO;WORRY_UN;WORRY_IL;WORRY_DE;OWNGUNS;SCI_SEAS;SCI_BULL;SCI_LIGH;SCI_SUN;SCI_VACC;YOUTH_RE;YOUTH_VI;YOUTH_FI;YOUTH_HA;YOUTH_DR;YOUTH_PR;YOUTH_SE;NET_GOVT;NET_CORP;NET_BULL;NET_IDEN;NET_SEXP;ENVIRONM;CLIMATEC;ENV_AIRP;ENV_DRIN;ENV_RIVR;ENV_PIPE;ENV_SOIL;ENV_RAIN;ENV_WARM;ENV_OILS;ENV_EXTI;ENV_SPRA;ENV_RUNO;DISAS_QU;DISAS_TO;DISAS_FL;DISAS_AS;DISAS_VO;DISAS_EM;DISAS_PO;DISAS_TE;DISAS_NU;DISAS_ME;DISAS_CO;DISAS_PA;DISAS_UN;DISAS_DE;DISAS_WA;GOVT_DRO;GOVT_OBA;GOVT_COR;GOVT_GUN;SURVIVAL;SUPPLIES;EVACUATI;FUTURE_C;FUTURE_S;FUTURE_O;FUTURE_T;FUTURE_A;GAY_TV;GAY_TEAC;GAY_MARR;GAY_SCHO;GAY_COAC;GAY_POLI;GAY_POLT;GAY_SOLD;GAY_RELL;IMM_CRIM;IMM_ASSI;IMM_DRAI;IMM_DISE;IMM_RAID;IMM_DEPO;IMM_PATH;THERM_AT;THERM_CD;THERM_CI;THERM_DE;THERM_DH;THERM_EP;THERM_FB;THERM_FD;THERM_FE;THERM_IR;THERM_NS;THERM_MS;THERM_AS;THER_ATH;THERM_BL;THERM_CA;THERM_WH;THERM_EV;THER_FEM;THERM_HI;THERM_HO;THERM_IM;THERM_JE;THERM_MU;THERM_PR;FEAR_MUG;FEAR;FEAR_STA;FEAR_MUR;FEAR_BRU;FEAR_RAP;FEAR_HAT;FEAR_SHO;COMP_ABD;COMP_GAN;COMP_TRA;COMP_RIO;COMP_PED;COMP_SCH;COMP_SER;COMP_RAP;CRIM_JUS;CRIM_EMP;CRIM_MOR;CRIM_EVI;CRIM_MED;CRIM_MEN;CRIM_BIA;PUN_SENT;PUN_DEAT;PUN_APPE;PUN_STRI;PUN_CAST;PUN_PRIV;PHOB_BLO;PHOB_ANI;PHOB_CLO;PHOB_DRO;PHOB_FLY;PHOB_GHO;PHOB_HEI;PHOB_SPE;PHOB_CLA;PHOB_STR;PHOB_DAR;PHOB_ZOM;PPAGE;PPAGECAT;PPAGECT4;PPEDUC;PPEDUCAT;PPETHM;PPGENDER;PPHHHEAD;PPHHSIZE;PPHOUSE;PPINCIMP;PPMARIT;PPMSACAT;PPREG4;PPREG9;PPRENT;PPSTATEN;PPT01;PPT25;PPT612;PPT1317;PPT18OV;PPWORK;PPNET;I_RELIGION;I_AGE;I_EDUC;I_RACE;I_GENDER;I_FINCOME;I_MARITAL;I_REGION
2;4/16/2014;4/16/2014;26;1,054;2;Catholic;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;2;7;2;3;1;1;4;2;2;2;1;1;1;1;2;1;1;1;1;3;2;2;1;3;1;4;1;1;1;1;1;1;1;3;1;1;4;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;2;3;1;2;2;2;2;2;2;1;1;1;1;1;1;1;99;99;34;99;100;100;100;100;51;50;50;51;99;52;100;100;100;52;100;51;50;26;100;27;100;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;3;1;1;4;4;4;2;4;2;3;4;4;4;52;4;3;6;1;1;1;0;3;1;10;5;1;1;2;2;21;0;0;0;0;3;2;1;2;3;1;1;1;3;3;1
3;4/16/2014;4/16/2014;13;0,8647;4;reformed;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;4;2;1;1;2;4;2;2;2;3;2;1;2;2;2;1;2;6;7;2;2;1;2;3;2;4;1;2;3;4;2;3;1;4;3;5;5;3;2;3;3;2;3;1;1;1;1;1;3;1;3;3;1;1;1;2;2;2;3;1;3;1;1;1;1;1;1;1;2;1;2;2;2;2;1;1;1;3;2;1;1;1;1;1;1;1;1;3;1;2;3;;4;4;1;1;2;1;1;1;3;1;3;1;1;1;1;1;1;1;2;2;2;1;1;2;1;58;74;79;82;84;58;74;71;90;87;62;44;50;92;85;80;52;31;70;51;80;72;89;37;53;2;1;3;3;3;3;3;2;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;4;4;3;4;4;3;4;3;3;4;44;3;2;14;4;1;2;1;2;2;19;6;1;3;5;1;52;0;0;0;0;2;1;1;4;2;4;1;2;5;4;3
4;4/16/2014;4/16/2014;43;1,0185;1;Nondenominational;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;4;8;7;2;1;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;3;2;1;3;2;1;2;;5;5;3;3;3;4;4;4;4;4;4;3;3;4;4;2;2;2;2;2;3;3;2;4;3;4;4;4;3;4;3;2;3;2;2;3;3;3;3;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;2;4;3;4;3;2;2;2;2;1;4;4;3;3;3;4;2;3;3;3;2;3;2;55;54;15;65;45;72;78;50;65;45;50;10;78;66;88;88;77;88;74;67;32;77;87;32;56;4;4;4;4;4;4;4;4;2;1;2;3;1;1;2;2;2;2;1;1;2;3;3;3;3;3;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;70;6;4;10;3;1;1;1;1;1;10;3;1;3;6;1;62;0;0;0;0;1;7;1;1;4;3;1;1;3;2;3
5;4/16/2014;4/16/2014;24;0,3361;3;non denominational;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;7;2;2;1;3;1;3;4;2;2;2;4;1;2;2;2;2;2;2;3;4;3;2;2;1;3;2;2;2;1;3;1;1;1;1;4;4;4;5;1;3;3;3;3;3;3;2;3;2;2;2;2;2;2;2;2;2;2;3;3;4;1;4;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;1;1;1;4;2;4;3;3;2;2;2;1;2;1;2;2;2;2;2;4;3;2;1;3;3;3;2;25;50;50;50;5;0;50;0;50;6;12;0;100;0;100;100;100;100;50;100;0;50;100;50;5;4;2;4;4;4;4;3;4;2;2;1;3;1;1;3;2;2;2;2;2;2;2;3;3;2;2;2;2;2;4;3;4;4;4;4;4;2;4;4;;4;72;6;4;6;1;4;1;1;2;1;12;1;1;4;9;1;92;0;0;0;0;2;5;1;3;4;1;4;1;3;1;4
6;4/16/2014;4/16/2014;21;1,7005;3;non-denominational;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;5;7;1;1;2;3;4;4;2;3;1;3;3;2;2;2;2;2;2;2;4;2;1;3;1;3;2;2;1;1;3;2;2;2;1;5;4;3;3;2;4;2;4;4;4;4;1;4;1;3;2;2;1;1;1;2;2;2;3;3;4;2;4;1;2;2;2;1;2;1;1;3;2;1;2;2;2;2;2;3;3;3;3;1;1;1;1;1;1;1;2;2;1;1;2;3;2;3;3;3;1;4;3;1;3;1;4;4;2;3;2;4;3;2;1;2;2;1;1;85;65;58;80;77;55;64;60;60;50;71;50;51;50;57;50;75;50;23;43;25;1;50;50;51;4;2;4;3;4;4;4;4;2;2;2;3;2;2;2;2;1;4;3;2;4;4;3;1;1;1;1;1;1;4;4;4;4;4;4;4;2;4;4;4;4;36;3;2;9;2;1;1;1;2;1;12;1;1;3;6;1;62;0;0;0;0;2;1;1;3;2;2;1;1;3;1;3
7;4/16/2014;4/16/2014;6;2,3049;10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;4;;3;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;7;4;3;1;1;1;2;2;2;2;2;3;3;2;2;2;3;3;3;3;3;1;1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;70;73;74;83;79;83;81;83;80;80;82;84;84;86;87;93;82;83;89;85;87;84;81;85;87;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;42;3;2;7;1;4;1;0;4;5;3;6;1;3;5;2;54;0;0;0;0;4;3;0;5;2;1;4;1;1;4;3
8;4/16/2014;4/16/2014;4;2,0411;10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;5;3;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;4;;;;4;;;;;4;4;;;;4;;;;;4;;;;;;;;;;;;;;;;;59;51;73;81;73;88;54;68;82;84;72;79;87;51;77;76;74;71;85;64;83;91;86;85;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;3;2;14;4;1;2;1;1;1;17;1;1;1;2;1;21;0;0;0;0;1;1;0;5;2;4;1;2;5;1;1
9;4/16/2014;4/16/2014;28;1,75;10;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3;6;4;3;4;2;4;4;4;4;4;4;4;2;2;2;2;2;2;6;6;1;1;1;2;3;2;2;2;2;1;3;3;3;1;4;3;4;4;3;3;3;3;3;3;1;4;1;3;4;4;2;3;2;3;3;2;3;3;3;3;3;4;1;1;2;3;2;3;2;2;2;3;2;2;3;2;2;2;4;4;3;2;3;4;4;2;3;3;2;3;3;4;2;4;5;1;2;2;3;2;3;4;2;4;4;1;1;1;1;1;1;3;3;4;3;3;4;2;50;80;50;30;25;65;65;50;50;50;50;50;50;25;50;45;50;25;50;50;50;50;50;50;20;3;4;4;4;4;4;4;4;3;4;2;3;3;1;3;3;3;2;3;4;3;1;3;3;4;4;4;4;3;4;3;4;4;4;4;3;3;3;3;4;4;32;2;2;13;4;1;1;1;2;1;18;1;1;3;7;1;72;0;0;0;0;2;1;1;5;2;4;1;1;5;1;3
10;4/16/2014;4/16/2014;24;0,7689;1;Methodist;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;7;2;3;3;2;4;4;2;2;3;3;3;1;1;2;2;1;2;2;2;1;1;1;1;4;2;3;1;1;2;3;1;2;2;5;5;4;1;1;3;3;4;3;3;1;1;3;3;2;4;2;2;2;1;2;2;2;1;1;2;1;3;2;2;2;2;2;3;2;1;3;3;3;3;3;3;4;4;4;4;4;3;1;2;3;2;3;3;1;3;3;1;1;1;3;1;3;1;2;3;3;3;1;4;2;1;1;1;1;3;2;2;2;2;3;2;2;2;50;100;50;50;75;40;90;90;50;30;50;50;100;50;100;100;100;60;50;60;70;70;100;50;50;4;1;4;4;4;3;4;2;2;1;3;2;2;1;3;3;3;2;1;3;1;1;3;3;3;1;1;3;1;4;3;4;4;3;4;3;3;4;3;4;4;66;6;4;12;4;1;2;1;2;1;16;1;1;4;9;1;93;0;0;0;0;2;5;1;1;4;4;1;2;5;1;4
11;4/16/2014;4/16/2014;18;1,7537;1;Baptist;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;3;2;1;3;2;3;2;2;2;2;3;2;1;2;1;2;1;2;4;3;3;2;3;2;2;3;3;2;1;3;2;2;2;2;2;3;4;5;1;2;2;4;2;3;4;2;3;2;2;1;2;1;1;1;1;2;2;1;1;2;1;2;1;1;1;1;1;;1;2;2;1;2;2;2;3;3;3;4;3;2;2;2;1;2;2;2;2;1;1;2;1;1;2;3;2;3;2;2;2;2;2;2;3;1;2;3;2;2;2;3;1;2;1;1;2;1;2;50;72;55;58;41;55;53;54;52;51;54;54;60;31;51;62;77;65;50;52;67;39;60;30;54;3;1;3;3;2;2;3;2;1;1;2;2;1;1;2;2;1;2;1;1;2;2;3;1;1;3;1;1;2;3;3;4;2;2;4;2;1;1;3;4;4;70;6;4;4;1;1;1;1;2;1;12;1;1;2;3;1;33;0;0;0;0;2;5;1;1;4;1;1;1;3;1;2
