CASE_ID;QN1;QN2;QN3;QN4;QN5;QN6A;QN6B;QN6C;QN7A;QN7B;QN7C;QN7D;QN7E;QN7F;QN8A;QN8B;QN8C;QN8D;QN8E;QN8F;QN8G;QN8H;QN8I;QN8J;QN8K;QN9A;QN9B;QN9C;QN9D;QN9E;QN9F;QN9G;QN9H;QN9I;QN9J;QN9K;QN9L;QN10A;QN10B;QN10C;QN10D;QN10E;QN10F;QN10G;QN10H;QN10I;QN10J;QN10K;QN10L;QN10M;QN10N;QN10O;QN10P;QN10Q;QN11A;QN11B;QN11C;QN11D;QN11E;QN11F;QN11G;QN12A;QN12B;QN12C;QN12D;QN13A;QN13B;QN13C;QN13D;QN13E;QN13F;QN14A;QN14B;QN14C;QN14D;QN15;QN16;QN17;QN18;QN19A;QN19B;QN19C;QN19D;QN19E;QN19F;QN19G;QN20A;QN20B;QN20C;QN20D;QN21A;QN21B;QN21C;QN21D;QN21E;QN22A;QN22B;QN22C;QN22D;QN22E;QN22F;QN22G;QN22H;QN22I;QN22J;QN22K;QN22L;QN22M;QN22N;QN22O;QN22P;QN22Q;QN22R;QN22S;QN23A;QN23B;QN23C;QN23D;QN23E;QN23F;QN23G;QN23H;QN23I;QN23J;QN23K;QN23L;QN23M;QN23N;QN23O;QN23P;QN23Q;QN24A;QN24B;QN24C;QN25A;QN25B;QN25C;QN25D;QN25E;QN25F;QN25G;QN25H;QN25I;QN25J;QN25K;QN25L;QN25M;QN25N;QN25O;QN25P;QN25Q;QN25R;QN26A;QN26B;QN26C;QN26D;QN26E;QN27A;QN27B;QN27C;QN27D;QN27E;QN27F;QN27G;QN27H;QN27I;QN28A;QN28B;QN28C;QN28D;QN28E;QN28F;QN28G;QN28H;QN29A;QN29B;QN29C;QN29D;QN29E;QN30A;QN30B;QN30C;QN30D;QN30E;QN30F;QN30G;QN30H;QN30I;QN31A;QN31B;QN31C;QN31D;QN31E;QN32A;QN32B;QN32C;QN32D;QN32E;QN32F;QN32G;QN32H;QN33A;QN33B;QN33C;QN33D;QN33E;QN33F;QN33G;QN33H;QN33I;QN33J;QN34A;QN34B;QN34C;QN17A;METRO;REGION;DIVISION;OWNHOME;MSTATUS;EMPLOY;TOTPER;ADULTS;ADULTM;ADULTF;KIDS1217;KIDS611;KIDSLESS6;PARENT;AGE;AGE2;AGE3;EDUC;INCOME;RACE;REGVOTE;SEX;RELIGION;LENGTH;DEVICE_TYPE;WEIGHT;I_ATTEND;I_EDUC;I_GENDER;I_MARITAL;I_RACE;I_RELIGION
60000001;3;7;2;6;6;3;3;1;1;1;2;2;1;2;4;3;3;6;3;3;2;3;1;1;3;1;1;1;1;1;1;1;1;2;1;2;1;10;3;97;3;10;4;2;97;1;97;10;5;2;4;3;2;7;4;4;4;3;4;3;4;4;3;3;3;3;3;2;2;3;1;1;2;1;1;1;1;1;1;1;3;1;2;1;4;4;5;4;3;3;4;4;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;2;4;3;4;4;4;3;4;3;2;4;3;4;4;3;4;3;1;4;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;1;3;1;3;2;3;2;2;2;2;2;2;2;2;1;3;1;1;3;1;1;4;4;4;4;1;4;3;4;4;4;3;4;4;4;2;3;1;1;2;4;4;4;1;4;4;1;4;5;1;3;2;4;4;4;4;4;4;3;2;1;1;3;3;5;1;1;2;3;3;;;;;;;21;;1;3;13;1;2;1;15;19,4;c;0,4645;5;1;1;1;1;1
60000002;2;2;3;5;6;4;3;1;1;2;2;2;1;1;6;6;4;6;6;6;3;3;3;1;4;1;1;1;1;2;1;2;2;2;1;2;2;97;97;97;7;97;5;97;97;97;97;8;97;3;97;3;1;97;3;4;3;3;3;3;3;2;3;4;3;2;2;2;2;3;2;1;4;2;4;2;2;2;1;1;2;1;2;1;1;4;4;1;4;4;3;4;1;4;1;2;4;4;4;4;4;3;4;2;4;2;3;2;1;4;4;3;1;1;4;4;1;1;4;1;1;3;1;4;4;4;4;2;4;4;1;2;2;3;4;4;4;4;3;4;4;4;4;3;2;3;4;4;2;2;4;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;1;1;2;1;1;1;4;1;1;1;4;4;4;4;4;4;2;2;4;2;1;1;2;1;4;1;4;1;4;4;2;1;2;1;3;2;4;4;2;2;2;2;3;3;2;2;2;4;9;2;3;1;3;2;;;1;0;0;1;50;;3;4;99;1;1;2;2;20,5;c;0,6439;2;2;2;3;1;2
60000004;4;2;2;2;4;2;2;2;1;1;2;2;1;2;3;4;3;3;6;6;1;6;3;3;3;1;1;2;2;2;2;2;2;2;2;2;2;97;8;97;5;2;10;10;97;97;97;10;5;6;97;2;5;7;4;3;3;3;4;3;4;2;2;3;2;4;4;4;4;4;4;2;2;2;4;2;2;3;2;3;3;4;2;3;3;2;4;4;4;4;2;4;4;4;4;4;4;4;4;4;-1;4;3;4;3;3;3;2;4;3;2;3;3;3;3;2;4;3;4;4;4;4;4;4;4;4;1;3;4;4;1;1;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3;2;2;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;2;3;2;2;2;3;2;2;2;3;2;2;3;2;2;2;3;2;4;1;2;4;1;1;2;2;2;2;2;2;2;2;2;2;3;3;2;3;3;2;3;2;3;6;2;2;1;1;;;;;55;;3;4;4;1;1;2;2;21;c;0,4537;2;2;2;3;1;2
60000005;1;2;4;4;4;2;2;1;1;1;2;2;1;8;3;3;5;6;6;6;4;4;2;3;6;1;1;1;1;2;1;1;2;2;1;2;1;9;4;97;8;5;8;3;97;2;97;97;97;2;8;2;2;7;4;4;4;3;3;3;4;4;3;4;4;2;3;2;3;4;3;4;4;4;3;2;2;3;1;2;3;2;2;1;4;4;4;4;4;4;4;4;3;3;3;3;4;4;4;3;4;4;3;4;4;3;4;3;3;4;4;3;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;1;4;1;4;4;4;4;4;3;4;4;4;4;4;4;3;4;4;3;3;4;4;4;2;2;4;4;4;4;4;4;4;4;4;4;2;4;3;4;4;3;4;2;4;3;3;1;3;2;4;3;4;4;4;4;4;4;4;2;3;1;2;2;3;4;2;1;2;3;1;1;4;4;4;4;4;4;4;4;4;4;4;2;2;3;1;4;8;2;1;1;3;3;;;;;;;24;;1;6;6;1;1;1;90;24,3;c;0,6001;2;3;1;1;1;5
60000006;3;5;2;4;4;3;3;3;1;2;1;2;8;8;4;5;1;3;6;2;2;2;3;6;6;1;2;2;2;2;2;2;2;2;2;2;1;5;5;97;97;1;5;2;97;97;97;10;4;3;97;1;2;7;4;4;3;3;4;4;3;4;4;4;3;2;2;2;4;3;2;3;3;3;4;2;1;3;2;2;3;3;2;2;3;4;5;3;4;3;4;4;3;3;3;3;3;4;4;3;3;4;3;3;3;3;4;3;3;4;4;4;3;3;3;3;2;2;3;2;4;3;3;4;4;3;3;4;4;3;1;2;2;3;3;3;3;4;3;4;4;4;3;3;2;3;2;4;3;4;3;2;2;2;2;3;2;3;3;3;4;4;3;2;4;2;4;4;3;2;4;4;3;4;4;3;4;4;3;4;2;3;2;2;2;2;3;3;2;3;1;2;2;4;2;3;1;3;2;2;4;5;3;4;3;5;4;4;5;4;3;3;2;3;3;2;1;1;1;1;3;1;1;0;1;;;;;65;;4;4;3;1;1;2;12;39,9;p;0,3862;4;2;2;1;1;4
60000008;3;7;4;4;2;2;2;1;1;1;2;2;1;2;1;4;1;3;3;3;1;3;2;2;3;1;1;1;1;1;2;2;2;2;1;2;1;97;5;97;5;5;6;8;97;97;97;4;5;6;97;8;5;7;3;4;3;4;4;4;4;3;3;3;3;3;3;3;3;3;3;2;3;2;3;1;1;1;3;2;3;3;2;2;2;3;4;3;3;4;3;3;3;3;3;3;2;3;2;3;3;3;2;2;2;3;2;2;2;2;3;2;2;2;4;4;3;3;3;3;4;3;3;3;3;3;3;3;4;3;1;2;3;2;3;3;2;3;2;3;3;3;2;3;2;2;3;2;2;2;2;2;2;2;2;2;2;3;3;3;2;3;3;2;3;2;3;3;3;3;3;3;3;3;4;2;2;3;2;2;2;2;3;3;2;3;2;2;2;1;1;2;2;4;4;4;2;4;2;4;2;4;2;4;2;4;4;4;4;4;4;3;2;3;1;1;3;7;1;1;1;2;2;;;;;;;55;;3;3;7;1;1;2;15;13,6;c;0,4758;5;1;2;1;1;1
60000013;1;6;4;7;7;3;3;2;1;2;2;2;1;1;3;2;2;6;6;6;5;1;1;1;6;2;1;1;1;2;1;1;2;1;1;2;1;10;1;10;10;10;1;97;97;1;2;10;6;1;97;3;1;97;1;2;1;2;2;2;2;2;2;4;3;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;3;2;2;3;3;4;3;3;4;4;4;3;4;3;4;4;4;4;4;3;4;3;3;3;2;3;2;3;4;4;3;3;2;4;4;3;3;4;3;1;4;4;4;3;3;4;3;4;3;1;4;2;4;4;4;4;4;2;1;2;4;2;3;3;4;3;4;4;4;4;3;1;1;2;1;2;2;4;4;2;4;4;2;4;2;3;3;3;2;3;3;1;3;4;4;1;4;1;4;4;4;4;4;4;4;4;4;2;2;1;2;2;4;4;4;2;4;4;2;2;5;2;2;2;4;4;2;4;2;2;3;2;2;2;1;4;8;1;3;2;4;2;1;1;1;1;0;1;43;;2;7;12;1;1;2;7;16,5;c;0,2206;5;3;2;3;1;4
60000017;2;6;4;6;5;3;2;2;1;1;2;2;1;2;4;2;5;6;5;6;5;2;6;5;6;2;2;1;2;2;2;2;2;2;1;2;2;97;4;97;97;9;6;97;97;97;97;97;97;3;10;3;6;97;3;3;3;3;3;3;3;3;4;4;4;2;3;2;2;3;2;2;2;2;2;1;1;1;2;2;3;3;2;4;3;3;5;4;4;2;4;4;3;2;2;4;4;4;4;4;3;4;3;4;4;3;3;2;3;4;4;3;3;4;4;3;4;4;4;4;4;3;4;4;4;4;3;4;4;3;1;4;2;4;4;4;4;4;3;3;3;3;3;4;4;4;4;4;3;4;3;4;4;3;4;3;4;2;2;2;2;2;4;2;3;2;1;3;3;3;3;4;1;3;3;4;1;3;1;4;4;4;4;4;4;4;4;4;2;3;2;2;2;2;2;2;1;2;2;1;1;4;2;3;2;3;4;1;4;1;3;3;3;2;1;2;1;1;1;1;1;3;2;0;2;1;0;0;2;21;;1;3;3;1;1;2;19;19,9;c;0,2351;5;1;2;1;1;1
60000021;2;6;4;6;7;2;3;3;1;2;1;2;1;1;5;4;6;4;3;1;5;3;1;6;6;1;1;2;1;2;2;2;2;2;1;2;1;10;3;97;97;9;5;2;97;3;4;10;7;1;8;3;3;7;3;4;2;3;3;3;3;4;3;4;4;2;3;2;2;3;1;3;3;3;4;2;1;3;2;2;3;4;2;2;4;1;4;3;2;4;4;4;3;4;4;4;4;4;4;4;3;4;3;2;3;3;3;3;3;4;4;4;3;4;3;3;3;3;3;3;3;3;2;3;3;2;3;3;4;3;1;4;1;2;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3;3;4;4;4;3;3;3;4;3;3;4;3;3;4;3;2;2;4;3;3;2;3;4;2;4;4;4;3;4;1;4;4;4;4;4;4;2;4;4;2;2;1;1;2;4;3;2;1;4;4;3;2;4;3;3;2;4;4;1;5;3;4;4;4;2;3;2;2;3;1;3;2;4;2;;;0;2;0;1;37;;2;8;12;1;1;1;96;29,7;c;0,6814;5;4;1;3;1;5
60000022;3;3;3;4;3;2;2;1;2;2;2;2;2;2;5;4;5;3;4;4;5;4;4;2;5;2;1;1;1;2;1;2;2;2;1;2;1;97;5;97;7;3;10;4;97;97;97;9;4;4;8;97;4;7;4;4;4;4;4;3;4;3;3;3;3;3;3;3;4;4;4;2;4;3;4;2;2;3;2;2;3;3;2;2;4;4;4;4;4;4;3;4;3;4;4;4;4;3;4;4;4;4;4;2;4;4;4;3;3;4;4;3;1;2;4;4;3;3;4;4;4;4;4;3;4;2;3;4;4;4;1;3;3;2;4;4;4;4;3;4;4;4;4;3;4;4;3;4;3;3;4;3;2;2;2;2;3;2;3;4;2;4;2;2;4;2;2;4;3;4;2;4;4;3;4;4;3;3;4;3;2;3;3;2;2;3;3;2;2;2;2;2;2;3;4;4;1;4;4;4;3;5;2;5;4;4;5;5;5;5;5;3;3;3;3;5;2;4;1;3;2;2;2;;;;;;;50;;3;3;6;1;1;2;2;30,7;c;0,2947;3;1;2;3;1;2
