Q_NAME,Description,Option_Num,Option_Text
QN1,How religious do you consider yourself to be?,1,Not at all religious
QN1,How religious do you consider yourself to be?,2,Not too religious
QN1,How religious do you consider yourself to be?,3,Somewhat religious
QN1,How religious do you consider yourself to be?,4,Very religious
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",1,Never
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",2,"Only on special occasions (i.e., weddings, funerals, holidays)"
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",3,Less than once a year
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",4,Once or twice a year
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",5,Several times a year
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",6,Once a month
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",7,Two to three times a month
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",8,Weekly
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",9,Several times a week
QN3,Which one statement comes closest to your personal beliefs about the Christian Bible?,1,"The Bible means exactly what it says. It should be taken literally, word-for-word, on all subjects"
QN3,Which one statement comes closest to your personal beliefs about the Christian Bible?,2,"The Bible is perfectly true, but it should not be taken literally, word-for-word. We must interpret its meaning"
QN3,Which one statement comes closest to your personal beliefs about the Christian Bible?,3,The Bible contains some human error
QN3,Which one statement comes closest to your personal beliefs about the Christian Bible?,4,The Bible is an ancient book of history and legends
QN3,Which one statement comes closest to your personal beliefs about the Christian Bible?,5,I don't know
QN4A,Please indicate the extent to which you believe each of the following exists. The Devil/Satan,-1,Blank
QN4A,Please indicate the extent to which you believe each of the following exists. The Devil/Satan,1,Definitely exists
QN4A,Please indicate the extent to which you believe each of the following exists. The Devil/Satan,2,Probably exists
QN4A,Please indicate the extent to which you believe each of the following exists. The Devil/Satan,3,Probably does not exist
QN4A,Please indicate the extent to which you believe each of the following exists. The Devil/Satan,4,Definitely does not exist
QN4B,Please indicate the extent to which you believe each of the following exists. Demons,-1,Blank
QN4B,Please indicate the extent to which you believe each of the following exists. Demons,1,Definitely exists
QN4B,Please indicate the extent to which you believe each of the following exists. Demons,2,Probably exists
QN4B,Please indicate the extent to which you believe each of the following exists. Demons,3,Probably does not exist
QN4B,Please indicate the extent to which you believe each of the following exists. Demons,4,Definitely does not exist
QN4C,Please indicate the extent to which you believe each of the following exists. Hell,-1,Blank
QN4C,Please indicate the extent to which you believe each of the following exists. Hell,1,Definitely exists
QN4C,Please indicate the extent to which you believe each of the following exists. Hell,2,Probably exists
QN4C,Please indicate the extent to which you believe each of the following exists. Hell,3,Probably does not exist
QN4C,Please indicate the extent to which you believe each of the following exists. Hell,4,Definitely does not exist
QN4D,Please indicate the extent to which you believe each of the following exists. God,1,Definitely exists
QN4D,Please indicate the extent to which you believe each of the following exists. God,2,Probably exists
QN4D,Please indicate the extent to which you believe each of the following exists. God,3,Probably does not exist
QN4D,Please indicate the extent to which you believe each of the following exists. God,4,Definitely does not exist
QN4E,Please indicate the extent to which you believe each of the following exists. Apocalypse/Armageddon,-1,Blank
QN4E,Please indicate the extent to which you believe each of the following exists. Apocalypse/Armageddon,1,Definitely exists
QN4E,Please indicate the extent to which you believe each of the following exists. Apocalypse/Armageddon,2,Probably exists
QN4E,Please indicate the extent to which you believe each of the following exists. Apocalypse/Armageddon,3,Probably does not exist
QN4E,Please indicate the extent to which you believe each of the following exists. Apocalypse/Armageddon,4,Definitely does not exist
QN5,How would you describe yourself politically?,1,Extremely conservative
QN5,How would you describe yourself politically?,2,Conservative
QN5,How would you describe yourself politically?,3,Leaning conservative
QN5,How would you describe yourself politically?,4,Moderate
QN5,How would you describe yourself politically?,5,Leaning liberal
QN5,How would you describe yourself politically?,6,Liberal
QN5,How would you describe yourself politically?,7,Extremely liberal
QN6,"Do you think of yourself as Republican, Democrat or Independent?",1,Strong Republican
QN6,"Do you think of yourself as Republican, Democrat or Independent?",2,Moderate Republican
QN6,"Do you think of yourself as Republican, Democrat or Independent?",3,Leaning Republican
QN6,"Do you think of yourself as Republican, Democrat or Independent?",4,Independent
QN6,"Do you think of yourself as Republican, Democrat or Independent?",5,Leaning Democrat
QN6,"Do you think of yourself as Republican, Democrat or Independent?",6,Moderate Democrat
QN6,"Do you think of yourself as Republican, Democrat or Independent?",7,Strong Democrat
QN7A,Please indicate if you or a close friend/family member have been the victim of the following crimes? Have you ever been the victim of a property crime (stolen property)?,1,Yes
QN7A,Please indicate if you or a close friend/family member have been the victim of the following crimes? Have you ever been the victim of a property crime (stolen property)?,2,No
QN7A,Please indicate if you or a close friend/family member have been the victim of the following crimes? Have you ever been the victim of a property crime (stolen property)?,8,Don't know
QN7B,Please indicate if you or a close friend/family member have been the victim of the following crimes? Have you ever been the victim of a violent crime?,1,Yes
QN7B,Please indicate if you or a close friend/family member have been the victim of the following crimes? Have you ever been the victim of a violent crime?,2,No
QN7B,Please indicate if you or a close friend/family member have been the victim of the following crimes? Have you ever been the victim of a violent crime?,8,Don't know
QN7C,Please indicate if you or a close friend/family member have been the victim of the following crimes? Has a close friend or family member ever been the victim of a property crime?,1,Yes
QN7C,Please indicate if you or a close friend/family member have been the victim of the following crimes? Has a close friend or family member ever been the victim of a property crime?,2,No
QN7C,Please indicate if you or a close friend/family member have been the victim of the following crimes? Has a close friend or family member ever been the victim of a property crime?,8,Don't know
QN7D,Please indicate if you or a close friend/family member have been the victim of the following crimes? Has a close friend or family member ever been the victim of a violent crime?,1,Yes
QN7D,Please indicate if you or a close friend/family member have been the victim of the following crimes? Has a close friend or family member ever been the victim of a violent crime?,2,No
QN7D,Please indicate if you or a close friend/family member have been the victim of the following crimes? Has a close friend or family member ever been the victim of a violent crime?,8,Don't know
QN8A,How often do you read a local newspaper from your home town? (In print or the digital version),-1,Blank
QN8A,How often do you read a local newspaper from your home town? (In print or the digital version),1,Every day
QN8A,How often do you read a local newspaper from your home town? (In print or the digital version),2,Most days
QN8A,How often do you read a local newspaper from your home town? (In print or the digital version),3,Once or twice a week
QN8A,How often do you read a local newspaper from your home town? (In print or the digital version),4,Once or twice a month
QN8A,How often do you read a local newspaper from your home town? (In print or the digital version),5,Less than once a month but at least once a year
QN8A,How often do you read a local newspaper from your home town? (In print or the digital version),6,Never
QN8B,"How often do you read a national newspaper such as USA Today, The Wall Street Journal, or The New York Times? (In print or the digital version, app, etc.)",-1,Blank
QN8B,"How often do you read a national newspaper such as USA Today, The Wall Street Journal, or The New York Times? (In print or the digital version, app, etc.)",1,Every day
QN8B,"How often do you read a national newspaper such as USA Today, The Wall Street Journal, or The New York Times? (In print or the digital version, app, etc.)",2,Most days
QN8B,"How often do you read a national newspaper such as USA Today, The Wall Street Journal, or The New York Times? (In print or the digital version, app, etc.)",3,Once or twice a week
QN8B,"How often do you read a national newspaper such as USA Today, The Wall Street Journal, or The New York Times? (In print or the digital version, app, etc.)",4,Once or twice a month
QN8B,"How often do you read a national newspaper such as USA Today, The Wall Street Journal, or The New York Times? (In print or the digital version, app, etc.)",5,Less than once a month but at least once a year
QN8B,"How often do you read a national newspaper such as USA Today, The Wall Street Journal, or The New York Times? (In print or the digital version, app, etc.)",6,Never
QN8C,"How often do you watch the national nightly network news (such as World News Tonight, CBS Evening News)?",-1,Blank
QN8C,"How often do you watch the national nightly network news (such as World News Tonight, CBS Evening News)?",1,Every day
QN8C,"How often do you watch the national nightly network news (such as World News Tonight, CBS Evening News)?",2,Most days
QN8C,"How often do you watch the national nightly network news (such as World News Tonight, CBS Evening News)?",3,Once or twice a week
QN8C,"How often do you watch the national nightly network news (such as World News Tonight, CBS Evening News)?",4,Once or twice a month
QN8C,"How often do you watch the national nightly network news (such as World News Tonight, CBS Evening News)?",5,Less than once a month but at least once a year
QN8C,"How often do you watch the national nightly network news (such as World News Tonight, CBS Evening News)?",6,Never
QN8D,How often do you watch Fox News?,-1,Blank
QN8D,How often do you watch Fox News?,1,Every day
QN8D,How often do you watch Fox News?,2,Most days
QN8D,How often do you watch Fox News?,3,Once or twice a week
QN8D,How often do you watch Fox News?,4,Once or twice a month
QN8D,How often do you watch Fox News?,5,Less than once a month but at least once a year
QN8D,How often do you watch Fox News?,6,Never
QN8E,How often do you watch CNN?,-1,Blank
QN8E,How often do you watch CNN?,1,Every day
QN8E,How often do you watch CNN?,2,Most days
QN8E,How often do you watch CNN?,3,Once or twice a week
QN8E,How often do you watch CNN?,4,Once or twice a month
QN8E,How often do you watch CNN?,5,Less than once a month but at least once a year
QN8E,How often do you watch CNN?,6,Never
QN8F,How often do you watch MSNBC?,-1,Blank
QN8F,How often do you watch MSNBC?,1,Every day
QN8F,How often do you watch MSNBC?,2,Most days
QN8F,How often do you watch MSNBC?,3,Once or twice a week
QN8F,How often do you watch MSNBC?,4,Once or twice a month
QN8F,How often do you watch MSNBC?,5,Less than once a month but at least once a year
QN8F,How often do you watch MSNBC?,6,Never
QN8G,How often do you watch the local TV news to learn about your area?,-1,Blank
QN8G,How often do you watch the local TV news to learn about your area?,1,Every day
QN8G,How often do you watch the local TV news to learn about your area?,2,Most days
QN8G,How often do you watch the local TV news to learn about your area?,3,Once or twice a week
QN8G,How often do you watch the local TV news to learn about your area?,4,Once or twice a month
QN8G,How often do you watch the local TV news to learn about your area?,5,Less than once a month but at least once a year
QN8G,How often do you watch the local TV news to learn about your area?,6,Never
QN8H,How often do you listen to a talk radio show that discusses politics?,-1,Blank
QN8H,How often do you listen to a talk radio show that discusses politics?,1,Every day
QN8H,How often do you listen to a talk radio show that discusses politics?,2,Most days
QN8H,How often do you listen to a talk radio show that discusses politics?,3,Once or twice a week
QN8H,How often do you listen to a talk radio show that discusses politics?,4,Once or twice a month
QN8H,How often do you listen to a talk radio show that discusses politics?,5,Less than once a month but at least once a year
QN8H,How often do you listen to a talk radio show that discusses politics?,6,Never
QN8I,How often do you read online news websites (such as Yahoo! News or Google)?,-1,Blank
QN8I,How often do you read online news websites (such as Yahoo! News or Google)?,1,Every day
QN8I,How often do you read online news websites (such as Yahoo! News or Google)?,2,Most days
QN8I,How often do you read online news websites (such as Yahoo! News or Google)?,3,Once or twice a week
QN8I,How often do you read online news websites (such as Yahoo! News or Google)?,4,Once or twice a month
QN8I,How often do you read online news websites (such as Yahoo! News or Google)?,5,Less than once a month but at least once a year
QN8I,How often do you read online news websites (such as Yahoo! News or Google)?,6,Never
QN8J,"How often do you get news from social media (e.g., Twitter, Facebook)?",-1,Blank
QN8J,"How often do you get news from social media (e.g., Twitter, Facebook)?",1,Every day
QN8J,"How often do you get news from social media (e.g., Twitter, Facebook)?",2,Most days
QN8J,"How often do you get news from social media (e.g., Twitter, Facebook)?",3,Once or twice a week
QN8J,"How often do you get news from social media (e.g., Twitter, Facebook)?",4,Once or twice a month
QN8J,"How often do you get news from social media (e.g., Twitter, Facebook)?",5,Less than once a month but at least once a year
QN8J,"How often do you get news from social media (e.g., Twitter, Facebook)?",6,Never
QN8K,"How often do you watch daytime talk shows, such as The Ellen DeGeneres Show or The View?",-1,Blank
QN8K,"How often do you watch daytime talk shows, such as The Ellen DeGeneres Show or The View?",1,Every day
QN8K,"How often do you watch daytime talk shows, such as The Ellen DeGeneres Show or The View?",2,Most days
QN8K,"How often do you watch daytime talk shows, such as The Ellen DeGeneres Show or The View?",3,Once or twice a week
QN8K,"How often do you watch daytime talk shows, such as The Ellen DeGeneres Show or The View?",4,Once or twice a month
QN8K,"How often do you watch daytime talk shows, such as The Ellen DeGeneres Show or The View?",5,Less than once a month but at least once a year
QN8K,"How often do you watch daytime talk shows, such as The Ellen DeGeneres Show or The View?",6,Never
QN9A,How afraid are you of the following? Becoming seriously ill,1,Very afraid
QN9A,How afraid are you of the following? Becoming seriously ill,2,Afraid
QN9A,How afraid are you of the following? Becoming seriously ill,3,Slightly afraid
QN9A,How afraid are you of the following? Becoming seriously ill,4,Not afraid
QN9B,How afraid are you of the following? People I love becoming seriously ill,1,Very afraid
QN9B,How afraid are you of the following? People I love becoming seriously ill,2,Afraid
QN9B,How afraid are you of the following? People I love becoming seriously ill,3,Slightly afraid
QN9B,How afraid are you of the following? People I love becoming seriously ill,4,Not afraid
QN9C,How afraid are you of the following? Dying,-1,Blank
QN9C,How afraid are you of the following? Dying,1,Very afraid
QN9C,How afraid are you of the following? Dying,2,Afraid
QN9C,How afraid are you of the following? Dying,3,Slightly afraid
QN9C,How afraid are you of the following? Dying,4,Not afraid
QN9D,How afraid are you of the following? People I love dying,1,Very afraid
QN9D,How afraid are you of the following? People I love dying,2,Afraid
