Q_NAME;Description;Option_Num;Option_Text
Q1;How religious do you consider yourself to be?;1;Not at all religious
Q1;How religious do you consider yourself to be?;2;Not too religious
Q1;How religious do you consider yourself to be?;3;Somewhat religious
Q1;How religious do you consider yourself to be?;4;Very religious
Q2;How often do you attend religious services at a church, mosque, synagogue or other place of worship?;1;Never
Q2;How often do you attend religious services at a church, mosque, synagogue or other place of worship?;2;Only on special occasions (i.e. weddings, funerals, holidays)
Q2;How often do you attend religious services at a church, mosque, synagogue or other place of worship?;3;Less than once a year
Q2;How often do you attend religious services at a church, mosque, synagogue or other place of worship?;4;Once or twice a year
Q2;How often do you attend religious services at a church, mosque, synagogue or other place of worship?;5;Several times a year
Q2;How often do you attend religious services at a church, mosque, synagogue or other place of worship?;6;Once a month
Q2;How often do you attend religious services at a church, mosque, synagogue or other place of worship?;7;Two to three times a month
Q2;How often do you attend religious services at a church, mosque, synagogue or other place of worship?;8;Weekly
Q2;How often do you attend religious services at a church, mosque, synagogue or other place of worship?;9;Several times a week
Q3;Which one statement comes closest to your personal beliefs about the Christian Bible?;1;The Bible means exactly what it says. It should be taken literally, word-for-word, on all subjects.
Q3;Which one statement comes closest to your personal beliefs about the Christian Bible?;2;The Bible is perfectly true, but it should not be taken literally, word-for-word. We must interpret its meaning.
Q3;Which one statement comes closest to your personal beliefs about the Christian Bible?;3;The Bible contains some human error.
Q3;Which one statement comes closest to your personal beliefs about the Christian Bible?;4;The Bible is an ancient book of history and legends.
Q3;Which one statement comes closest to your personal beliefs about the Christian Bible?;5;I don't know
Q4;How would you describe yourself politically?;1;Extremely conservative
Q4;How would you describe yourself politically?;2;Conservative
Q4;How would you describe yourself politically?;3;Leaning conservative
Q4;How would you describe yourself politically?;4;Moderate
Q4;How would you describe yourself politically?;5;Leaning liberal
Q4;How would you describe yourself politically?;6;Liberal
Q4;How would you describe yourself politically?;7;Extremely liberal
Q5;Do you think of yourself as a Republican, Democrat or Independent?;1;Strong Republican
Q5;Do you think of yourself as a Republican, Democrat or Independent?;2;Moderate Republican
Q5;Do you think of yourself as a Republican, Democrat or Independent?;3;Leaning Republican
Q5;Do you think of yourself as a Republican, Democrat or Independent?;4;Independent
Q5;Do you think of yourself as a Republican, Democrat or Independent?;5;Leaning Democrat
Q5;Do you think of yourself as a Republican, Democrat or Independent?;6;Moderate Democrat
Q5;Do you think of yourself as a Republican, Democrat or Independent?;7;Strong Democrat
Q6;Who did you vote for in the 2020 Presidential election?;-1;Web blank
Q6;Who did you vote for in the 2020 Presidential election?;1;Donald Trump, the Republican nominee
Q6;Who did you vote for in the 2020 Presidential election?;2;Joseph Biden, the Democratic nominee
Q6;Who did you vote for in the 2020 Presidential election?;3;Someone else
