RESPID;DEVICETYPE;Q1;Q2;Q3;Q4;Q5;Q6;Q9A;Q9B;Q9C;Q9D;Q9E;Q9F;Q9G;Q9H;Q9I;Q9J;Q9K;Q10A;Q10B;Q10C;Q10D;Q11A;Q11B;Q11C;Q11D;Q11E;Q11F;Q13A;Q13B;Q13C;Q13D;Q13E;Q13F;Q13G;Q14A;Q14B;Q14C;Q14D;Q14E;Q15A;Q15B;Q15C;Q15D;Q15E;Q15F;Q15G;Q15H;Q15I;Q15J;Q15K;Q15AA;Q15AB;Q15AC;Q15AD;Q15AE;Q15AF;Q15AG;Q15AH;Q15AI;Q15AJ;Q15AK;Q15AL;Q15AM;Q15AN;Q16A;Q16B;Q16C;Q16D;Q16E;Q16F;Q16G;Q16H;Q16I;Q16J;Q16K;Q16L;Q16M;Q16N;Q16O;Q16P;Q17A;Q17B;Q17C;Q17D;Q17E;Q17F;Q17G;Q17H;Q17I;Q17J;Q17K;Q17L;Q17M;Q17N;Q17O;Q17P;Q17Q;Q17R;Q18A;Q18B;Q18C;Q18D;Q18E;Q18F;Q18G;Q18H;Q19A;Q19B;Q19C;Q20A;Q20B;Q20C;Q20D;Q20E;Q22A;Q22B;Q22C;Q22D;Q22E;Q22F;Q23A;Q23B;Q23C;Q23D;Q23E;Q23H;Q23I;Q23J;Q24;Q25;Q26A;Q26B;Q26C;Q26D;Q26E;Q28A;Q28B;Q28C;Q28D;Q29;Q30;Q31;Q32;Q27A;Q27B;Q27C;Q27D;Q33A;Q33B;Q33C;Q33D;Q33G;Q21;INT5;Z8;Z8A;EDUCATION;EDUC;Z4;Z5;EMPLOY;Z9;Z9A;Z9B;NEWINCOME;VOTER;PAGEFINAL;PGENDER;PRACE;PREGION;PMSTATUS;PADULTS;PPARENT;PAGE1;PAGE2;PRELIGION;LENGTH;WEIGHT1_TRIM;I_GENDER;I_AGE;I_MARITAL;I_REGION;I_RELIGION
3;2;4;1;1;4;1;4;6;6;1;3;3;3;3;3;6;6;6;1;1;3;1;3;2;2;2;2;3;1;5;5;5;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;2;3;2;2;1;4;4;2;2;3;1;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;4;3;5;3;5;1;1;3;1;1;4;2;1;4;4;4;3;2;2;2;2;1;4;3;2;3;2;4;4;1;2;3;2;3;3;3;2;2;2;1;1;1;1;2;3;3;3;3;3;4;1;3;1;2;4;3;;3;2;3;1;3;1;;;1;1;3;2;1;3;5;1;2;61;;25;17,2;2,5975;2;;4;3;1
4;1;2;2;4;4;4;2;3;3;1;1;6;1;1;1;3;1;6;3;3;4;4;1;1;1;1;1;1;3;4;4;4;3;4;2;4;4;2;1;3;4;4;2;3;3;2;3;3;2;2;2;3;3;3;3;3;4;4;3;4;3;3;2;2;2;4;4;4;4;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;3;3;4;4;3;2;4;3;3;4;2;4;3;3;5;1;5;2;5;5;2;5;4;2;4;1;4;4;2;2;4;1;1;1;1;4;1;2;2;2;1;2;1;1;2;2;3;4;2;2;2;1;1;1;2;1;1;3;1;3;2;3;2;1;1;4;4;4;1;2;7;;7;4;3;1;3;-1;-1;;99;1;4;1;1;2;4;2;2;65;;990;22,15;0,1716;1;;4;2;5
6;1;3;2;4;2;3;1;3;5;2;5;3;6;6;4;5;5;2;4;4;4;3;3;3;4;3;4;4;3;4;4;3;3;4;4;4;3;3;2;2;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;4;3;4;4;3;4;4;4;4;4;4;4;4;4;3;3;4;4;3;3;3;4;3;4;4;4;4;4;4;3;2;2;2;4;3;2;4;4;1;4;4;4;4;1;2;4;2;3;2;4;3;4;2;2;4;4;4;4;4;4;4;4;4;1;2;2;1;1;3;1;4;4;3;1;2;1;1;1;6;;6;4;1;;1;8;;2;13;1;3;1;1;2;3;2;2;57;;997;14,86666667;0,2643;1;;3;2;4
7;4;2;1;4;5;4;3;5;5;3;3;3;1;2;3;5;4;4;1;2;1;2;3;2;3;3;3;2;1;5;1;3;1;3;3;2;4;3;2;2;3;4;4;4;4;4;4;4;3;4;4;3;4;3;3;4;3;3;4;4;4;4;4;4;3;1;2;1;2;3;2;3;2;4;4;2;4;4;4;3;2;2;3;3;4;3;3;3;3;3;3;3;3;3;3;2;3;3;4;4;3;4;4;3;1;4;4;4;1;4;2;3;3;2;4;3;2;2;3;2;3;2;3;2;3;2;3;2;2;2;2;4;4;4;4;4;2;2;2;2;2;2;2;2;3;2;4;3;2;1;4;4;4;2;2;4;2;4;3;2;;2;2;;;2;1;3;2;1;1;6;1;2;64;;990;13,1;0,2757;2;;4;1;5
8;2;1;2;4;7;7;2;3;2;3;5;6;5;5;4;6;6;2;3;2;4;3;2;3;4;3;4;2;2;2;4;4;4;4;4;3;4;4;3;4;4;3;4;4;4;2;3;4;3;2;4;4;4;3;4;4;4;4;4;4;4;4;3;4;4;3;3;3;3;4;4;4;3;4;4;4;3;4;4;4;3;4;4;4;4;3;4;4;4;4;3;3;4;4;4;3;4;4;4;4;3;4;3;4;4;3;4;3;4;4;1;3;3;2;2;4;1;1;2;2;3;1;4;2;2;3;3;3;3;2;2;4;4;2;3;2;1;1;1;1;2;2;3;2;3;1;3;3;1;1;4;4;4;1;2;8;;8;4;1;;1;6;;;6;1;1;1;1;4;1;1;2;29;;995;8,733333333;0,8946;1;;1;4;5
9;2;1;2;4;7;7;2;6;6;1;5;6;2;5;4;2;5;2;2;1;3;2;2;2;2;2;2;2;2;5;4;3;2;4;4;3;4;2;2;3;2;3;2;3;3;3;2;3;2;2;3;2;2;2;3;2;4;4;4;4;2;2;2;3;4;3;4;3;3;4;2;3;2;3;3;3;1;3;4;4;3;2;4;3;3;3;4;4;4;2;2;3;3;4;4;2;2;4;2;4;3;4;4;4;4;2;3;4;3;4;2;2;2;2;3;4;1;1;2;2;4;1;2;1;2;2;2;2;1;2;2;4;4;3;2;3;1;1;1;1;2;2;3;2;4;2;2;3;1;1;4;4;4;1;1;6;;6;4;1;;1;8;;2;13;1;2;1;1;4;6;4;2;38;;990;20,38333333;0,6935;1;;4;4;5
10;4;4;8;1;1;1;1;6;6;1;6;3;6;6;2;6;4;3;4;4;4;3;4;4;4;4;4;4;4;5;5;5;4;4;4;3;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;4;1;3;2;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;3;4;4;3;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;4;2;2;3;4;1;4;4;3;4;1;2;3;3;2;3;3;2;4;2;2;3;1;3;4;3;3;3;3;3;1;1;3;1;2;2;2;3;4;4;2;4;2;2;4;3;;3;2;3;1;3;9;;;17;1;4;2;1;2;5;1;2;78;;5;12,5;2,7615;2;;4;2;1
11;2;3;5;3;4;4;3;3;5;2;2;5;6;5;2;5;5;2;3;3;4;3;3;3;2;3;3;4;3;5;3;5;3;4;4;3;3;2;2;2;3;4;4;3;3;2;3;3;3;3;3;2;1;3;2;2;4;3;3;3;2;2;2;2;1;4;4;3;3;4;4;3;4;4;4;4;4;4;4;3;3;3;2;2;3;3;3;3;4;1;2;3;2;2;4;3;3;3;2;2;2;2;2;3;2;3;3;3;1;1;4;2;1;1;4;2;3;3;3;3;3;2;3;3;2;2;3;2;3;2;2;3;3;2;3;3;3;3;2;3;1;2;3;1;2;2;1;2;2;2;4;3;2;1;2;4;2;4;3;3;1;3;4;;;4;1;4;1;1;4;6;1;2;66;;7;17,28333333;0,2441;1;;4;4;4
12;4;2;1;3;3;3;4;5;6;3;6;6;6;6;6;6;4;3;4;4;3;4;3;4;3;2;3;3;4;5;3;4;4;4;4;2;4;3;3;3;4;2;3;3;4;4;3;4;4;3;3;3;4;2;3;3;4;3;4;2;2;3;3;3;3;4;4;3;4;4;4;4;4;4;4;3;1;4;4;3;2;4;3;4;4;3;4;4;4;4;3;4;3;4;4;4;4;4;4;3;3;3;5;4;4;3;3;2;2;3;3;3;4;3;4;2;2;2;3;3;2;2;2;3;2;1;2;3;3;2;2;3;2;3;1;3;3;3;3;3;1;2;2;1;3;3;3;3;3;3;2;3;3;2;1;3;;3;2;1;;1;9;;;17;1;3;2;1;3;6;1;2;50;;22;10,88333333;0,9003;2;;4;3;3
13;2;3;2;5;2;2;1;5;5;5;2;3;5;3;2;5;5;4;3;2;4;4;3;3;3;3;3;3;1;2;1;1;1;4;4;1;2;1;1;1;1;1;1;1;1;1;1;4;3;2;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;2;1;3;2;3;1;3;2;3;1;1;1;4;4;2;1;1;2;1;3;2;2;1;2;1;1;1;2;1;2;2;2;2;1;5;2;1;5;2;5;5;5;2;2;2;4;2;3;2;3;1;3;4;3;1;3;1;2;1;3;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;3;4;1;3;3;4;1;3;1;2;2;3;;3;2;1;;1;6;;;6;1;3;2;1;4;6;1;2;54;;2;18,13333333;0,8217;2;;4;4;2
